Title,Price,Rating,Category
Sharp Objects,47.82,4,Mystery
"In a Dark, Dark Wood",19.63,1,Mystery
The Past Never Ends,56.5,4,Mystery
A Murder in Time,16.64,1,Mystery
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,Mystery
The Last Mile (Amos Decker #2),54.21,2,Mystery
That Darkness (Gardiner and Renner #1),13.92,1,Mystery
Tastes Like Fear (DI Marnie Rome #3),10.69,1,Mystery
A Time of Torment (Charlie Parker #14),48.35,5,Mystery
A Study in Scarlet (Sherlock Holmes #1),16.73,2,Mystery
Poisonous (Max Revere Novels #3),26.8,3,Mystery
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,Mystery
Most Wanted,35.28,3,Mystery
Hide Away (Eve Duncan #20),11.84,1,Mystery
Boar Island (Anna Pigeon #19),59.48,3,Mystery
The Widow,27.26,2,Mystery
Playing with Fire,13.71,3,Mystery
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Mystery
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Mystery
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Mystery
The Secret Garden,15.08,4,Classics
The Metamorphosis,28.58,1,Classics
The Pilgrim's Progress,50.26,2,Classics
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,Classics
Little Women (Little Women #1),28.07,4,Classics
Gone with the Wind,32.49,3,Classics
Candide,58.63,3,Classics
Animal Farm,57.22,3,Classics
Wuthering Heights,17.73,3,Classics
The Picture of Dorian Gray,29.7,2,Classics
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Classics
Beowulf,38.35,2,Classics
And Then There Were None,35.01,2,Classics
The Story of Hong Gildong,43.19,4,Classics
The Little Prince,45.42,2,Classics
Sense and Sensibility,37.46,1,Classics
Of Mice and Men,47.11,2,Classics
Emma,32.93,2,Classics
Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,Classics
In Her Wake,12.84,1,Thriller
The Elephant Tree,23.82,5,Thriller
Behind Closed Doors,52.22,4,Thriller
You (You #1),43.61,5,Thriller
The Guilty (Will Robie #4),13.82,2,Thriller
The 14th Colony (Cotton Malone #11),39.24,1,Thriller
Give It Back,18.32,2,Thriller
Killing Floor (Jack Reacher #1),31.49,4,Thriller
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3,Thriller
Far From True (Promise Falls Trilogy #2),34.93,2,Thriller
The Travelers,15.77,1,Thriller
Sophie's World,15.94,5,Philosophy
The Death of Humanity: and the Case for Life,58.11,4,Philosophy
The Stranger,17.44,4,Philosophy
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,Philosophy
Kierkegaard: A Christian Missionary to Christians,47.13,1,Philosophy
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Philosophy
Critique of Pure Reason,20.75,1,Philosophy
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,Philosophy
The Nicomachean Ethics,36.34,1,Philosophy
Meditations,25.89,2,Philosophy
Beyond Good and Evil,43.38,1,Philosophy
